0.0,4.5,4.5,5.3,5.3,5.3,6.7,6.7,6.7,8.2,8.2,8.2,8.2,8.2,10.1,10.1,10.1,5.3,8.2,8.2,8.2,8.2,5.3,5.3,11.9,11.9,11.9,11.9,11.9,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,11.9,11.9,11.9,11.9,11.9,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,8.2,8.2,14.2,14.2,14.2,14.2,14.2,14.2,5.3,11.9,11.9,14.2,14.2,14.2,22.4,25.7,25.7,22.4,13.4,11.9,11.9,14.2,14.2,16.9,27.0,27.9,27.9,27.9,27.9,27.9,13.4,14.2,14.2,17.7,17.7,18.1,25.7,19.1,21.1,21.1,22.6,22.6,49.6,49.6,17.7,18.5,18.5,18.5,18.5,21.0,21.0,21.0,21.0
27.9,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.0,27.9,27.9,27.9,27.9,27.0,27.0,21.0,19.9,19.9,19.0,18.8,18.8,17.1,17.1,15.2,17.1,17.1,18.8,18.8,20.0,21.0,19.9,19.9,19.0,18.8,18.8,19.0,19.9,19.9,21.0,21.0,23.0,23.0,23.0,23.0,23.5,23.5,27.9,27.9,23.5,23.5,23.5,23.5,23.5,23.5,27.0,19.9,19.0,16.2,17.1,18.8,25.8,28.7,31.4,25.8,21.1,21.0,20.0,16.2,15.2,13.5,4.7,0.0,4.7,4.8,5.2,6.4,21.1,19.1,19.0,19.2,19.2,19.6,26.5,20.2,21.8,21.8,23.1,23.1,54.0,54.0,19.2,20.4,20.4,20.4,20.4,22.8,22.8,22.8,22.8
27.9,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.0,27.9,27.9,27.9,27.9,27.0,27.0,21.0,19.9,19.9,19.0,18.8,18.8,17.1,17.1,15.2,17.1,17.1,18.8,18.8,20.0,21.0,19.9,19.9,19.0,18.8,18.8,19.0,19.9,19.9,21.0,21.0,23.0,23.0,23.0,23.0,23.5,23.5,27.9,27.9,23.5,23.5,23.5,23.5,23.5,23.5,27.0,19.9,19.0,16.2,17.1,18.8,25.8,28.7,31.4,25.8,21.1,21.0,20.0,16.2,15.2,13.5,5.8,4.7,0.0,4.7,5.2,5.8,21.1,19.1,19.0,19.2,19.2,19.6,26.5,20.2,21.8,21.8,23.1,23.1,54.0,54.0,19.2,20.4,20.4,20.4,20.4,22.8,22.8,22.8,22.8
27.9,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.0,27.9,27.9,27.9,27.9,27.0,27.0,21.0,19.9,19.9,19.0,18.8,18.8,17.1,17.1,15.2,17.1,17.1,18.8,18.8,20.0,21.0,19.9,19.9,19.0,18.8,18.8,19.0,19.9,19.9,21.0,21.0,23.0,23.0,23.0,23.0,23.5,23.5,27.9,27.9,23.5,23.5,23.5,23.5,23.5,23.5,27.0,19.9,19.0,16.2,17.1,18.8,25.8,28.7,31.4,25.8,21.1,21.0,20.0,16.2,15.2,13.5,5.9,4.8,4.7,0.0,4.8,5.2,21.1,19.1,19.0,19.2,19.2,19.6,26.5,20.2,21.8,21.8,23.1,23.1,54.0,54.0,19.2,20.4,20.4,20.4,20.4,22.8,22.8,22.8,22.8
27.9,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.0,27.9,27.9,27.9,27.9,27.0,27.0,21.0,19.9,19.9,19.0,18.8,18.8,17.1,17.1,15.2,17.1,17.1,18.8,18.8,20.0,21.0,19.9,19.9,19.0,18.8,18.8,19.0,19.9,19.9,21.0,21.0,23.0,23.0,23.0,23.0,23.5,23.5,27.9,27.9,23.5,23.5,23.5,23.5,23.5,23.5,27.0,19.9,19.0,16.2,17.1,18.8,25.8,28.7,31.4,25.8,21.1,21.0,20.0,16.2,15.2,13.5,6.5,5.2,5.2,4.8,0.0,4.7,21.1,19.1,19.0,19.2,19.2,19.6,26.5,20.2,21.8,21.8,23.1,23.1,54.0,54.0,19.2,20.4,20.4,20.4,20.4,22.8,22.8,22.8,22.8
27.9,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.0,27.9,27.9,27.9,27.9,27.0,27.0,21.0,19.9,19.9,19.0,18.8,18.8,17.1,17.1,15.2,17.1,17.1,18.8,18.8,20.0,21.0,19.9,19.9,19.0,18.8,18.8,19.0,19.9,19.9,21.0,21.0,23.0,23.0,23.0,23.0,23.5,23.5,27.9,27.9,23.5,23.5,23.5,23.5,23.5,23.5,27.0,19.9,19.0,16.2,17.1,18.8,25.8,28.7,31.4,25.8,21.1,21.0,20.0,16.2,15.2,13.5,7.5,6.4,5.8,5.2,4.7,0.0,21.1,19.1,19.0,19.2,19.2,19.6,26.5,20.2,21.8,21.8,23.1,23.1,54.0,54.0,19.2,20.4,20.4,20.4,20.4,22.8,22.8,22.8,22.8
13.4,13.4,11.9,11.3,11.3,11.3,11.3,11.9,13.4,13.4,13.4,13.4,15.4,15.4,15.4,15.4,15.4,11.3,13.4,13.4,13.4,15.4,11.3,11.3,4.4,4.5,5.3,5.3,5.3,5.3,6.4,6.4,8.0,7.6,9.1,9.1,9.1,9.1,4.5,4.5,5.3,5.3,5.3,5.3,3.7,5.3,5.3,6.4,6.4,7.6,7.6,7.6,9.1,9.1,9.1,13.4,13.4,9.1,9.1,10.9,10.9,10.9,10.9,11.3,6.2,6.4,5.6,7.6,9.1,0.0,16.5,20.2,23.6,16.5,4.4,5.6,5.6,8.0,10.2,20.1,21.1,21.1,21.1,21.1,21.1,0.0,3.7,3.7,5.9,5.9,7.3,14.0,7.3,9.0,9.0,10.2,10.2,38.1,38.1,5.9,7.5,7.5,7.5,7.5,10.2,10.2,10.2,10.2
14.2,14.2,11.9,11.6,11.6,11.6,11.6,11.9,14.2,14.2,14.5,14.5,15.4,15.4,15.4,15.4,15.4,11.6,14.2,14.5,14.5,15.4,11.6,11.6,5.3,5.3,5.3,4.5,4.5,5.3,6.4,6.4,8.0,7.6,9.1,9.1,9.1,9.1,5.3,5.3,5.3,4.5,4.5,5.3,3.7,5.3,5.3,6.4,6.4,7.6,7.6,7.6,9.1,9.1,9.1,14.5,14.5,9.1,9.1,10.9,10.9,10.9,10.9,11.6,7.0,6.4,5.5,7.6,9.1,16.5,20.2,23.6,16.5,3.7,5.3,7.1,5.5,8.0,8.4,17.2,19.1,19.1,19.1,19.1,19.1,3.7,0.0,3.7,5.9,5.9,6.5,13.5,7.3,9.0,9.0,10.2,10.2,38.1,38.1,5.9,7.5,7.5,7.5,7.5,10.2,10.2,10.2,10.2
14.2,14.2,11.9,11.9,11.9,11.9,11.9,11.9,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,11.9,14.2,14.2,14.2,14.2,11.9,11.9,6.7,6.7,5.3,5.3,4.5,4.5,5.3,5.3,6.7,6.7,8.2,8.2,8.2,8.2,6.7,6.7,5.3,5.3,4.5,4.5,0.0,4.5,4.5,5.3,5.3,6.7,6.7,6.7,8.2,8.2,8.2,14.2,14.2,8.2,8.2,10.1,10.1,10.1,10.1,11.9,6.7,5.3,4.5,6.7,8.2,14.3,16.9,20.3,14.3,3.7,6.7,6.7,4.5,6.7,8.3,17.1,19.0,19.0,19.0,19.0,19.0,3.7,3.7,0.0,5.9,5.9,6.5,13.4,7.1,8.9,8.9,10.1,10.1,38.0,38.0,5.9,7.4,7.4,7.4,7.4,9.8,9.8,9.8,9.8
17.7,17.7,15.5,15.5,15.5,15.5,15.5,15.5,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,15.5,17.7,17.7,17.7,17.7,15.5,15.5,9.2,9.2,8.7,8.7,7.7,7.7,8.7,8.7,10.1,10.1,11.0,11.0,11.0,11.0,9.2,9.2,8.7,8.7,7.7,7.7,5.9,7.7,7.7,8.7,8.7,10.1,10.1,10.1,11.0,11.0,11.0,17.7,17.7,11.0,11.0,12.5,12.5,12.5,12.5,15.5,10.1,8.7,7.7,10.1,11.0,19.0,22.4,25.8,19.0,5.9,9.2,10.2,7.7,10.1,10.2,17.8,19.2,19.2,19.2,19.2,19.2,5.9,5.9,5.9,0.0,3.7,3.7,7.3,4.3,5.9,5.9,7.0,7.0,30.2,30.2,0.0,3.7,5.3,5.3,5.3,7.0,7.0,7.0,7.0
17.7,17.7,15.5,15.5,15.5,15.5,15.5,15.5,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,15.5,17.7,17.7,17.7,17.7,15.5,15.5,9.2,9.2,8.7,8.7,7.7,7.7,8.7,8.7,10.1,10.1,11.0,11.0,11.0,11.0,9.2,9.2,8.7,8.7,7.7,7.7,5.9,7.7,7.7,8.7,8.7,10.1,10.1,10.1,11.0,11.0,11.0,17.7,17.7,11.0,11.0,12.5,12.5,12.5,12.5,15.5,10.1,8.7,7.7,10.1,11.0,19.0,22.4,25.8,19.0,5.9,9.2,10.2,7.7,10.1,10.2,17.8,19.2,19.2,19.2,19.2,19.2,5.9,5.9,5.9,3.7,0.0,3.7,7.3,4.3,5.9,5.9,7.0,7.0,30.2,30.2,3.7,5.3,5.3,5.3,5.3,7.0,7.0,7.0,7.0
18.1,18.1,16.0,16.0,16.0,16.0,16.0,16.0,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,16.0,18.1,18.1,18.1,18.1,16.0,16.0,10.1,10.1,9.2,9.2,8.2,8.2,9.2,9.2,10.6,10.6,11.3,11.3,11.3,11.3,10.1,10.1,9.2,9.2,8.2,8.2,6.5,8.2,8.2,9.2,9.2,10.6,10.6,10.6,11.3,11.3,11.3,18.1,18.1,11.3,11.3,13.0,13.0,13.0,13.0,16.0,10.6,9.2,8.2,10.6,11.3,20.0,22.9,26.2,20.0,7.3,10.1,10.7,8.2,10.6,10.7,18.2,19.6,19.6,19.6,19.6,19.6,7.3,6.5,6.5,3.7,3.7,0.0,7.0,3.7,5.9,5.9,7.0,7.0,27.8,27.8,3.7,5.3,5.3,5.3,5.3,7.0,7.0,7.0,7.0
25.7,25.7,23.6,23.6,23.6,23.6,23.6,23.6,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,23.6,25.7,25.7,25.7,25.7,23.6,23.6,15.9,15.9,15.9,15.9,15.5,15.5,16.6,16.6,17.7,17.7,20.0,20.0,20.0,20.0,15.9,15.9,15.9,15.9,15.5,15.5,13.4,15.5,15.5,16.6,16.6,17.7,17.7,17.7,20.0,20.0,20.0,25.7,25.7,20.0,20.0,21.7,21.7,21.7,21.7,23.6,17.7,16.6,15.5,17.7,20.0,26.7,29.1,32.1,26.7,14.0,15.9,17.8,15.5,17.7,17.8,25.5,26.5,26.5,26.5,26.5,26.5,14.0,13.5,13.4,7.3,7.3,7.0,0.0,7.0,7.5,7.5,11.0,11.0,25.7,25.7,7.3,9.0,9.0,9.0,9.0,10.2,10.2,10.2,10.2
19.1,19.1,16.7,16.7,16.7,16.7,16.7,16.7,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,16.7,19.1,19.1,19.1,19.1,16.7,16.7,10.1,10.1,9.9,9.9,8.9,8.9,9.9,9.9,11.1,11.1,12.0,12.0,12.0,12.0,10.1,10.1,9.9,9.9,8.9,8.9,7.1,8.9,8.9,9.9,9.9,11.1,11.1,11.1,12.0,12.0,12.0,19.1,19.1,12.0,12.0,13.7,13.7,13.7,13.7,16.7,11.1,9.9,8.9,11.1,12.0,20.6,23.4,26.8,20.6,7.3,10.1,11.2,8.9,11.1,11.2,19.2,20.2,20.2,20.2,20.2,20.2,7.3,7.3,7.1,4.3,4.3,3.7,7.0,0.0,4.3,4.3,5.9,5.9,27.6,27.6,4.3,5.3,5.3,5.3,5.3,7.0,7.0,7.0,7.0
21.1,21.1,18.1,18.1,18.1,18.1,18.1,18.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.1,21.1,21.1,21.1,21.1,18.1,18.1,12.1,12.1,11.5,11.5,10.6,10.6,11.5,11.5,12.1,12.1,13.6,13.6,13.6,13.6,12.1,12.1,11.5,11.5,10.6,10.6,8.9,10.6,10.6,11.5,11.5,12.1,12.1,12.1,13.6,13.6,13.6,21.1,21.1,13.6,13.6,16.0,16.0,16.0,16.0,18.1,12.1,11.5,10.6,12.1,13.6,22.1,25.0,28.0,22.1,9.0,12.1,12.2,10.6,12.1,12.2,20.7,21.8,21.8,21.8,21.8,21.8,9.0,9.0,8.9,5.9,5.9,5.9,7.5,4.3,0.0,3.7,4.3,4.3,26.2,26.2,5.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
21.1,21.1,18.1,18.1,18.1,18.1,18.1,18.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,18.1,21.1,21.1,21.1,21.1,18.1,18.1,12.1,12.1,11.5,11.5,10.6,10.6,11.5,11.5,12.1,12.1,13.6,13.6,13.6,13.6,12.1,12.1,11.5,11.5,10.6,10.6,8.9,10.6,10.6,11.5,11.5,12.1,12.1,12.1,13.6,13.6,13.6,21.1,21.1,13.6,13.6,16.0,16.0,16.0,16.0,18.1,12.1,11.5,10.6,12.1,13.6,22.1,25.0,28.0,22.1,9.0,12.1,12.2,10.6,12.1,12.2,20.7,21.8,21.8,21.8,21.8,21.8,9.0,9.0,8.9,5.9,5.9,5.9,7.5,4.3,3.7,0.0,4.3,4.3,26.2,26.2,5.9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
22.6,22.6,20.3,20.3,20.3,20.3,20.3,20.3,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,20.3,22.6,22.6,22.6,22.6,20.3,20.3,13.5,13.5,12.3,12.3,11.3,11.3,12.3,12.3,13.6,13.6,15.8,15.8,15.8,15.8,13.5,13.5,12.3,12.3,11.3,11.3,10.1,11.3,11.3,12.3,12.3,13.6,13.6,13.6,15.8,15.8,15.8,22.6,22.6,15.8,15.8,17.5,17.5,17.5,17.5,20.3,13.6,12.3,11.3,13.6,15.8,23.4,26.1,29.3,23.4,10.2,13.5,13.7,11.3,13.6,13.7,22.1,23.1,23.1,23.1,23.1,23.1,10.2,10.2,10.1,7.0,7.0,7.0,11.0,5.9,4.3,4.3,0.0,3.7,24.0,24.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
22.6,22.6,20.3,20.3,20.3,20.3,20.3,20.3,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,20.3,22.6,22.6,22.6,22.6,20.3,20.3,13.5,13.5,12.3,12.3,11.3,11.3,12.3,12.3,13.6,13.6,15.8,15.8,15.8,15.8,13.5,13.5,12.3,12.3,11.3,11.3,10.1,11.3,11.3,12.3,12.3,13.6,13.6,13.6,15.8,15.8,15.8,22.6,22.6,15.8,15.8,17.5,17.5,17.5,17.5,20.3,13.6,12.3,11.3,13.6,15.8,23.4,26.1,29.3,23.4,10.2,13.5,13.7,11.3,13.6,13.7,22.1,23.1,23.1,23.1,23.1,23.1,10.2,10.2,10.1,7.0,7.0,7.0,11.0,5.9,4.3,4.3,3.7,0.0,24.0,24.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
49.6,49.6,47.6,47.6,47.6,47.6,47.6,47.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,47.6,49.6,49.6,49.6,49.6,47.6,47.6,40.4,42.6,41.4,41.4,40.5,40.5,41.4,41.4,42.6,42.6,44.0,44.0,44.0,44.0,42.6,42.6,41.4,41.4,40.5,40.5,38.0,40.5,40.5,41.4,41.4,42.6,42.6,42.6,44.0,44.0,44.0,49.6,49.6,44.0,44.0,45.7,45.7,45.7,45.7,47.6,42.6,41.4,40.5,42.6,44.0,49.7,52.3,55.3,49.7,38.1,40.4,42.7,40.5,42.6,44.4,52.5,54.0,54.0,54.0,54.0,54.0,38.1,38.1,38.0,30.2,30.2,27.8,25.7,27.6,26.2,26.2,24.0,24.0,0.0,24.0,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2
49.6,49.6,47.6,47.6,47.6,47.6,47.6,47.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,47.6,49.6,49.6,49.6,49.6,47.6,47.6,40.4,42.6,41.4,41.4,40.5,40.5,41.4,41.4,42.6,42.6,44.0,44.0,44.0,44.0,42.6,42.6,41.4,41.4,40.5,40.5,38.0,40.5,40.5,41.4,41.4,42.6,42.6,42.6,44.0,44.0,44.0,49.6,49.6,44.0,44.0,45.7,45.7,45.7,45.7,47.6,42.6,41.4,40.5,42.6,44.0,49.7,52.3,55.3,49.7,38.1,40.4,42.7,40.5,42.6,44.4,52.5,54.0,54.0,54.0,54.0,54.0,38.1,38.1,38.0,30.2,30.2,27.8,25.7,27.6,26.2,26.2,24.0,24.0,24.0,0.0,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2
17.7,17.7,15.5,15.5,15.5,15.5,15.5,15.5,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,15.5,17.7,17.7,17.7,17.7,15.5,15.5,9.2,9.2,8.7,8.7,7.7,7.7,8.7,8.7,10.1,10.1,11.0,11.0,11.0,11.0,9.2,9.2,8.7,8.7,7.7,7.7,5.9,7.7,7.7,8.7,8.7,10.1,10.1,10.1,11.0,11.0,11.0,17.7,17.7,11.0,11.0,12.5,12.5,12.5,12.5,15.5,10.1,8.7,7.7,10.1,11.0,19.0,22.4,25.8,19.0,5.9,9.2,10.2,7.7,10.1,10.2,17.8,19.2,19.2,19.2,19.2,19.2,5.9,5.9,5.9,0.0,3.7,3.7,7.3,4.3,5.9,5.9,7.0,7.0,30.2,30.2,0.0,3.7,5.3,5.3,5.3,7.0,7.0,7.0,7.0
18.5,18.5,15.6,15.6,15.6,15.6,15.6,15.6,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,15.6,18.5,18.5,18.5,18.5,15.6,15.6,10.2,10.2,8.9,8.9,7.8,7.8,8.9,8.9,10.2,10.2,11.0,11.0,11.0,11.0,10.2,10.2,8.9,8.9,7.8,7.8,7.4,7.8,7.8,8.9,8.9,10.2,10.2,10.2,11.0,11.0,11.0,18.5,18.5,11.0,11.0,12.6,12.6,12.6,12.6,15.6,10.2,8.9,7.8,10.2,11.0,19.6,23.1,27.0,19.6,7.5,10.2,10.2,7.8,10.2,10.7,19.4,20.4,20.4,20.4,20.4,20.4,7.5,7.5,7.4,3.7,5.3,5.3,9.0,5.3,7.0,7.0,7.0,7.0,30.2,30.2,3.7,0.0,3.7,4.3,4.3,5.3,5.3,5.3,5.3
18.5,18.5,15.6,15.6,15.6,15.6,15.6,15.6,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,15.6,18.5,18.5,18.5,18.5,15.6,15.6,10.2,10.2,8.9,8.9,7.8,7.8,8.9,8.9,10.2,10.2,11.0,11.0,11.0,11.0,10.2,10.2,8.9,8.9,7.8,7.8,7.4,7.8,7.8,8.9,8.9,10.2,10.2,10.2,11.0,11.0,11.0,18.5,18.5,11.0,11.0,12.6,12.6,12.6,12.6,15.6,10.2,8.9,7.8,10.2,11.0,19.6,23.1,27.0,19.6,7.5,10.2,10.2,7.8,10.2,10.7,19.4,20.4,20.4,20.4,20.4,20.4,7.5,7.5,7.4,5.3,5.3,5.3,9.0,5.3,7.0,7.0,7.0,7.0,30.2,30.2,5.3,3.7,0.0,3.7,4.3,5.3,5.3,5.3,5.3
18.5,18.5,15.6,15.6,15.6,15.6,15.6,15.6,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,15.6,18.5,18.5,18.5,18.5,15.6,15.6,10.2,10.2,8.9,8.9,7.8,7.8,8.9,8.9,10.2,10.2,11.0,11.0,11.0,11.0,10.2,10.2,8.9,8.9,7.8,7.8,7.4,7.8,7.8,8.9,8.9,10.2,10.2,10.2,11.0,11.0,11.0,18.5,18.5,11.0,11.0,12.6,12.6,12.6,12.6,15.6,10.2,8.9,7.8,10.2,11.0,19.6,23.1,27.0,19.6,7.5,10.2,10.2,7.8,10.2,10.7,19.4,20.4,20.4,20.4,20.4,20.4,7.5,7.5,7.4,5.3,5.3,5.3,9.0,5.3,7.0,7.0,7.0,7.0,30.2,30.2,5.3,4.3,3.7,0.0,3.7,5.3,5.3,5.3,5.3
18.5,18.5,15.6,15.6,15.6,15.6,15.6,15.6,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,15.6,18.5,18.5,18.5,18.5,15.6,15.6,10.2,10.2,8.9,8.9,7.8,7.8,8.9,8.9,10.2,10.2,11.0,11.0,11.0,11.0,10.2,10.2,8.9,8.9,7.8,7.8,7.4,7.8,7.8,8.9,8.9,10.2,10.2,10.2,11.0,11.0,11.0,18.5,18.5,11.0,11.0,12.6,12.6,12.6,12.6,15.6,10.2,8.9,7.8,10.2,11.0,19.6,23.1,27.0,19.6,7.5,10.2,10.2,7.8,10.2,10.7,19.4,20.4,20.4,20.4,20.4,20.4,7.5,7.5,7.4,5.3,5.3,5.3,9.0,5.3,7.0,7.0,7.0,7.0,30.2,30.2,5.3,4.3,4.3,3.7,0.0,3.7,5.3,5.3,5.3
21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,21.0,21.0,21.0,21.0,19.0,19.0,12.9,12.0,10.8,10.8,9.8,9.8,10.8,10.8,12.0,12.0,14.3,14.3,14.3,14.3,12.9,12.0,10.8,10.8,9.8,9.8,9.8,9.8,9.8,10.8,10.8,12.0,12.0,12.0,14.3,14.3,14.3,21.0,21.0,14.3,14.3,15.9,15.9,15.9,15.9,19.0,12.0,10.8,9.8,12.0,14.3,22.0,25.6,29.0,22.0,10.2,12.9,12.1,9.8,12.0,13.0,21.8,22.8,22.8,22.8,22.8,22.8,10.2,10.2,9.8,7.0,7.0,7.0,10.2,7.0,7.0,7.0,7.0,7.0,30.2,30.2,7.0,5.3,5.3,5.3,3.7,0.0,3.7,4.3,4.3
21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,21.0,21.0,21.0,21.0,19.0,19.0,12.9,12.0,10.8,10.8,9.8,9.8,10.8,10.8,12.0,12.0,14.3,14.3,14.3,14.3,12.9,12.0,10.8,10.8,9.8,9.8,9.8,9.8,9.8,10.8,10.8,12.0,12.0,12.0,14.3,14.3,14.3,21.0,21.0,14.3,14.3,15.9,15.9,15.9,15.9,19.0,12.0,10.8,9.8,12.0,14.3,22.0,25.6,29.0,22.0,10.2,12.9,12.1,9.8,12.0,13.0,21.8,22.8,22.8,22.8,22.8,22.8,10.2,10.2,9.8,7.0,7.0,7.0,10.2,7.0,7.0,7.0,7.0,7.0,30.2,30.2,7.0,5.3,5.3,5.3,5.3,3.7,0.0,3.7,4.3
21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,21.0,21.0,21.0,21.0,19.0,19.0,12.9,12.0,10.8,10.8,9.8,9.8,10.8,10.8,12.0,12.0,14.3,14.3,14.3,14.3,12.9,12.0,10.8,10.8,9.8,9.8,9.8,9.8,9.8,10.8,10.8,12.0,12.0,12.0,14.3,14.3,14.3,21.0,21.0,14.3,14.3,15.9,15.9,15.9,15.9,19.0,12.0,10.8,9.8,12.0,14.3,22.0,25.6,29.0,22.0,10.2,12.9,12.1,9.8,12.0,13.0,21.8,22.8,22.8,22.8,22.8,22.8,10.2,10.2,9.8,7.0,7.0,7.0,10.2,7.0,7.0,7.0,7.0,7.0,30.2,30.2,7.0,5.3,5.3,5.3,5.3,4.3,3.7,0.0,3.7
21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.0,21.0,21.0,21.0,21.0,19.0,19.0,12.9,12.0,10.8,10.8,9.8,9.8,10.8,10.8,12.0,12.0,14.3,14.3,14.3,14.3,12.9,12.0,10.8,10.8,9.8,9.8,9.8,9.8,9.8,10.8,10.8,12.0,12.0,12.0,14.3,14.3,14.3,21.0,21.0,14.3,14.3,15.9,15.9,15.9,15.9,19.0,12.0,10.8,9.8,12.0,14.3,22.0,25.6,29.0,22.0,10.2,12.9,12.1,9.8,12.0,13.0,21.8,22.8,22.8,22.8,22.8,22.8,10.2,10.2,9.8,7.0,7.0,7.0,10.2,7.0,7.0,7.0,7.0,7.0,30.2,30.2,7.0,5.3,5.3,5.3,5.3,4.3,4.3,3.7,0.0